Gender,Married,Education,Self_Employed,ApplicantIncome,LoanAmount,Credit_History,Loan_Status
Male,Yes,Graduate,No,1572,354,1,Y
Female,No,Graduate,Yes,6972,373,1,Y
Female,Yes,Graduate,Yes,11606,163,1,Y
Male,No,Graduate,No,6689,153,1,Y
Male,Yes,Graduate,No,3972,317,1,N
Male,No,Graduate,No,12738,453,1,Y
Male,Yes,Not Graduate,No,2207,252,1,N
Female,Yes,Not Graduate,No,3304,211,1,Y
Male,No,Graduate,No,8204,327,0,N
Female,Yes,Graduate,No,5213,474,0,Y
Male,Yes,Not Graduate,No,6551,213,0,Y
Female,No,Not Graduate,No,12256,152,1,Y
Female,No,Graduate,No,3975,415,1,Y
Male,Yes,Not Graduate,No,5110,444,0,Y
Male,Yes,Not Graduate,No,5755,161,1,Y
Male,Yes,Graduate,No,12515,71,1,Y
Male,Yes,Graduate,Yes,8897,261,1,Y
Male,Yes,Graduate,No,3235,158,1,Y
Male,No,Graduate,No,11277,78,0,N
Male,No,Graduate,No,9758,307,1,Y
Male,No,Not Graduate,No,12753,272,1,N
Male,No,Graduate,No,9479,470,1,Y
Male,Yes,Graduate,No,3928,57,1,Y
Male,Yes,Graduate,No,13845,188,1,Y
Male,Yes,Graduate,No,8926,436,1,N
Female,Yes,Not Graduate,No,10033,188,1,Y
Male,Yes,Graduate,No,6749,165,0,Y
Male,No,Graduate,No,12466,431,1,Y
Male,Yes,Graduate,No,6791,341,1,N
Male,Yes,Graduate,No,4317,399,1,Y
Male,Yes,Graduate,No,12353,277,1,Y
Male,No,Graduate,No,10924,174,1,Y
Male,Yes,Graduate,No,5374,190,1,Y
Female,Yes,Graduate,Yes,12093,275,1,N
Female,Yes,Graduate,No,11186,263,1,Y
Female,No,Graduate,No,5711,242,0,N
Male,Yes,Not Graduate,No,2161,295,1,N
Male,No,Graduate,No,13575,125,1,Y
Female,No,Graduate,No,13311,189,1,N
Male,Yes,Graduate,No,11560,274,1,Y
Male,Yes,Graduate,No,12026,384,1,Y
Male,No,Graduate,No,4874,61,0,Y
Male,Yes,Graduate,No,10708,387,0,Y
Female,Yes,Not Graduate,No,14098,324,1,Y
Male,No,Graduate,No,1707,308,0,Y
Female,No,Graduate,No,4165,297,1,Y
Male,No,Graduate,Yes,3993,68,1,Y
Male,No,Not Graduate,Yes,8313,252,1,Y
Male,Yes,Graduate,No,2132,475,0,N
Male,Yes,Graduate,No,11794,322,1,Y
Female,No,Graduate,No,12651,89,1,Y
Female,Yes,Graduate,No,4583,134,1,Y
Female,Yes,Graduate,Yes,14444,446,1,Y
Female,No,Not Graduate,Yes,11623,127,1,N
Male,Yes,Graduate,No,5219,83,0,N
Female,Yes,Graduate,No,8623,317,1,Y
Male,Yes,Graduate,No,12254,210,1,Y
Male,Yes,Graduate,No,3179,460,0,N
Male,Yes,Graduate,Yes,1736,228,1,Y
Male,Yes,Graduate,No,8946,392,0,Y
Male,Yes,Graduate,No,5943,223,1,N
Male,Yes,Graduate,No,8270,42,1,Y
Female,No,Graduate,No,14417,230,1,Y
Male,Yes,Graduate,No,11232,157,0,N
Male,No,Graduate,Yes,7599,58,1,Y
Male,Yes,Graduate,Yes,13635,62,1,Y
Male,Yes,Graduate,No,10055,452,1,Y
Female,No,Graduate,No,3868,69,1,Y
Male,Yes,Not Graduate,No,1785,334,1,Y
Female,No,Not Graduate,No,1648,147,1,Y
Female,Yes,Graduate,No,14895,406,0,Y
Male,No,Graduate,No,5537,320,1,N
Male,Yes,Graduate,No,8049,167,1,N
Female,No,Graduate,Yes,8621,268,1,Y
Female,Yes,Graduate,No,14243,150,0,N
Female,No,Graduate,Yes,11458,175,1,Y
Female,Yes,Graduate,No,6395,401,1,N
Male,Yes,Graduate,No,6780,225,1,Y
Male,No,Graduate,No,2512,183,1,Y
Male,Yes,Graduate,No,12523,111,1,Y
Female,Yes,Graduate,No,12199,168,1,Y
Male,No,Graduate,No,11215,403,1,Y
Male,Yes,Graduate,No,4285,300,1,Y
Male,Yes,Graduate,Yes,12248,42,1,Y
Male,Yes,Not Graduate,No,5225,488,1,Y
Male,No,Graduate,No,6076,427,1,Y
Female,Yes,Graduate,Yes,7282,143,1,N
Male,Yes,Graduate,No,7757,263,1,Y
Female,No,Graduate,Yes,11293,359,1,Y
Male,No,Graduate,Yes,3908,401,1,Y
Male,Yes,Graduate,No,1840,393,1,Y
Female,Yes,Not Graduate,Yes,4317,49,1,Y
Female,Yes,Not Graduate,No,3996,444,1,N
Male,Yes,Graduate,No,7462,423,1,Y
Female,Yes,Graduate,No,14622,341,1,Y
Male,Yes,Graduate,No,6799,270,1,Y
Male,Yes,Graduate,No,11417,258,1,N
Male,Yes,Not Graduate,Yes,9074,450,1,Y
Male,No,Graduate,No,3189,105,0,N
